easting,northing,elevation,distanceToWatercourse,localAuthority,households,numberOfPostcodeUnits,headcount,Suspect Charged,Porosity Max(%),Permeability category,Permeability Max(m�),Permeability Min(m�),Description,PSD min(mm),Organic soil,predicted medianPrice
473200,120900,90.0,1340.0,East Hampshire,5013.0,543.0,11657.0,759,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,573721.5106814767
530563,174473,30.0,4550.0,Lambeth,23656.0,1603.0,55539.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,566169.3708688698
332107,141779,10.0,1880.0,Sedgemoor,6502.0,674.0,15887.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,278798.28219110816
420418,139516,80.0,7540.0,Wiltshire,12277.0,1402.0,38743.0,343,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,478935.61904761905
458418,102194,10.0,920.0,Gosport,14701.0,926.0,35702.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,298876.28311260906
465000,98100,10.0,3360.0,Portsmouth,18878.0,1003.0,41272.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,316216.54424852313
524656,162651,70.0,3040.0,Sutton,12473.0,843.0,31280.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,725040.1507857314
355789,162110,60.0,550.0,Bath and North East Somerset,5508.0,858.0,13754.0,964,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,540920.6843354546
518662,167492,30.0,1020.0,Kingston upon Thames,8187.0,508.0,21087.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,702004.2358775589
468588,112083,70.0,3190.0,Havant,14184.0,1055.0,35752.0,759,,,,,,,,393529.0267416998
513900,175700,20.0,2080.0,Hounslow,13999.0,1210.0,47894.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,853187.4543220917
244645,126006,70.0,830.0,Torridge,18583.0,1521.0,39460.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,288203.06247101113
494695,168660,60.0,1720.0,Windsor and Maidenhead,9909.0,1322.0,24783.0,302,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,1500625.1458333335
511578,177492,30.0,1870.0,Hounslow,9498.0,694.0,33426.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,664504.2989614552
515568,172122,10.0,1900.0,Richmond upon Thames,11360.0,1204.0,27653.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,736369.0454931972
447329,128361,50.0,530.0,Winchester,11051.0,882.0,31653.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,507969.55106625037
559924,142133,70.0,400.0,Tunbridge Wells,13636.0,1061.0,31280.0,1711,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,597562.4318066002
531300,175200,20.0,4250.0,Lambeth,8048.0,537.0,18479.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,904696.5514455782
431098,175540,200.0,4830.0,West Berkshire,,,,343,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,512120.6777007659
546787,127874,140.0,1320.0,Wealden,11107.0,1319.0,27569.0,506,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,640987.9221343042
444236,114416,20.0,1750.0,Southampton,15955.0,1107.0,37465.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,334917.0151642893
471321,174026,40.0,540.0,Reading,19209.0,2421.0,49231.0,1089,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,573437.2148013161
388737,106993,60.0,1580.0,Dorset,12771.0,1219.0,30237.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,293677.17820010247
245846,55631,60.0,1980.0,Plymouth,14120.0,792.0,32327.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,229675.89360119047
530105,167228,40.0,1940.0,Croydon,63758.0,2862.0,170306.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,553096.2047991804
525900,159700,160.0,5870.0,Reigate and Banstead,7264.0,643.0,18509.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,701080.631753663
375350,164482,20.0,1780.0,Bath and North East Somerset,19809.0,2178.0,42246.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,516860.4880375555
416376,105663,20.0,920.0,New Forest,10610.0,1057.0,24892.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,443143.6253420711
290859,91792,10.0,1340.0,Exeter,22358.0,2095.0,60690.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,295429.9806257731
516481,126550,50.0,720.0,Horsham,15663.0,1465.0,40062.0,506,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,508282.2097175014
277479,111551,180.0,1230.0,Mid Devon,8521.0,1117.0,20542.0,546,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,391258.9464736652
245364,55841,30.0,1580.0,Plymouth,14120.0,792.0,32327.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,222288.1653911565
534428,155136,140.0,3090.0,Tandridge,12033.0,1027.0,31015.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,481625.4340573837
502114,103774,10.0,870.0,Arun,12935.0,933.0,33161.0,506,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,360491.98672673234
145425,28581,80.0,1040.0,Cornwall,4464.0,577.0,9725.0,546,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,365109.36617772107
349755,138988,20.0,330.0,Mendip,6035.0,707.0,13323.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,308912.94568797864
535421,172625,50.0,1730.0,Lewisham,14875.0,966.0,34644.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,521950.26349275303
456089,145050,140.0,6620.0,Basingstoke and Deane,3769.0,485.0,8883.0,759,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,996553.9277597403
526889,136881,70.0,3050.0,Crawley,27030.0,2243.0,73721.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,471908.430774195
546550,120775,20.0,170.0,Wealden,11107.0,1319.0,27569.0,506,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,425400.61972080497
522074,160953,70.0,1900.0,Epsom and Ewell,9585.0,998.0,25658.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,824470.015163984
480595,154342,80.0,1500.0,Hart,,,,1089,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,518820.94038471894
378716,166651,40.0,870.0,Bath and North East Somerset,19809.0,2178.0,42246.0,964,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,544497.2067969226
486025,159806,60.0,420.0,Surrey Heath,13655.0,1493.0,36131.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,496267.07783336384
565041,174030,20.0,950.0,Gravesham,19436.0,1179.0,49484.0,1103,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,331600.4621784001
536158,174233,40.0,1390.0,Lewisham,14875.0,966.0,34644.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,487696.3281698445
585210,145059,30.0,1360.0,Maidstone,5570.0,779.0,14296.0,1711,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,482373.3563439142
502600,150600,80.0,1920.0,Guildford,13202.0,1513.0,31811.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,606099.6598511569
546984,180395,0.0,710.0,Greenwich,10787.0,592.0,30524.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,382436.63512973336
540202,178646,10.0,2960.0,Greenwich,11245.0,1121.0,40654.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,591608.6797601314
531040,104624,30.0,7560.0,Brighton and Hove,,,,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,577765.7171251297
493700,99000,10.0,1250.0,Arun,19136.0,1601.0,43414.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,250457.36248661258
572036,168616,50.0,1520.0,Medway,16413.0,1222.0,42823.0,1711,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,311223.9493541762
418563,92461,0.0,810.0,"Bournemouth, Christchurch and Poole",25264.0,1968.0,55303.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,541300.3725475697
496584,101151,0.0,650.0,Arun,13255.0,1206.0,31977.0,506,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,344627.8034620803
531011,177685,10.0,2360.0,Lambeth,10222.0,814.0,23014.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,574984.7423305861
432271,95427,20.0,240.0,New Forest,15726.0,1426.0,31951.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,524380.4648599259
165568,37459,150.0,890.0,Cornwall,11085.0,986.0,27818.0,546,90.0,Low to moderate,1e-05,1e-07,"Organic matter, highly variable         ",0.02,1.0,314537.3504464286
203237,52814,50.0,650.0,Cornwall,11576.0,907.0,27666.0,546,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,303024.7283163265
147247,30227,30.0,2080.0,Cornwall,10452.0,1073.0,19522.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,256553.06324404763
375122,165550,30.0,760.0,Bath and North East Somerset,19809.0,2178.0,42246.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,545571.2817315368
472448,174484,40.0,680.0,Reading,16448.0,1401.0,40915.0,1089,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,469069.9530407083
191387,54363,80.0,600.0,Cornwall,5269.0,588.0,10503.0,546,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,362268.49509708356
489271,180742,30.0,1700.0,Windsor and Maidenhead,32344.0,3456.0,84273.0,1089,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,695713.4394132653
528063,150528,80.0,1200.0,Reigate and Banstead,19715.0,1827.0,50437.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,652368.5124428233
360204,173429,20.0,820.0,"Bristol, City of",,,,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,569175.3701769442
496593,176716,30.0,1020.0,Windsor and Maidenhead,18964.0,1989.0,45354.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,659246.4394804931
407944,91303,30.0,180.0,"Bournemouth, Christchurch and Poole",5271.0,508.0,9550.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,368378.68070144486
406106,94351,50.0,580.0,"Bournemouth, Christchurch and Poole",8690.0,592.0,20871.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,336940.036005394
144991,32171,130.0,1490.0,Cornwall,4464.0,577.0,9725.0,546,90.0,Low to moderate,1e-05,1e-07,"Organic matter, highly variable         ",0.02,1.0,359847.6671626984
559331,101038,40.0,980.0,Eastbourne,13856.0,1293.0,26270.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,362642.280687761
241639,59642,40.0,1140.0,Cornwall,9735.0,845.0,21801.0,546,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,335758.7059562461
144664,29075,40.0,210.0,Cornwall,5247.0,575.0,8780.0,546,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,374938.08490896365
531704,180192,10.0,470.0,Southwark,31597.0,3660.0,73174.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,1925939.6041666663
346315,160840,20.0,80.0,North Somerset,5508.0,858.0,13754.0,964,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,499793.3400338213
519473,157744,100.0,3350.0,Mole Valley,5632.0,520.0,14016.0,302,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,660277.6589578454
532010,175069,20.0,4790.0,Lambeth,8048.0,537.0,18479.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,786843.8758503401
464328,152904,100.0,930.0,Basingstoke and Deane,12181.0,1195.0,30627.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,488338.9997005358
288792,60830,10.0,1210.0,Torbay,9400.0,827.0,20828.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,259203.03018420207
525800,163800,60.0,4110.0,Sutton,16608.0,1234.0,43871.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,498400.7996748787
555502,167822,50.0,1300.0,Sevenoaks,4011.0,304.0,9428.0,42,60.0,Very low,1e-05,1e-08,"clay, fine silt",0.002,1.0,589534.1320840709
364369,174482,110.0,2860.0,"Bristol, City of",20755.0,1379.0,49777.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,328595.72506049916
534244,179253,10.0,1080.0,Southwark,20623.0,1580.0,53697.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,579327.5627266921
440100,112800,10.0,1280.0,Southampton,27304.0,1875.0,70038.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,291115.53907442203
300055,94811,30.0,980.0,East Devon,8102.0,1148.0,19842.0,546,,,,,,,,329096.1773860672
472039,106225,10.0,760.0,Havant,20529.0,1478.0,50906.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,310187.15992259653
462244,99607,0.0,660.0,Gosport,22011.0,1274.0,46366.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,279085.29994037456
539088,139355,110.0,820.0,Mid Sussex,14163.0,1504.0,35193.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,465275.4456652935
559924,142133,70.0,400.0,Tunbridge Wells,12247.0,1082.0,29750.0,1711,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,708601.8261518383
503308,169594,20.0,880.0,Runnymede,11533.0,1207.0,26696.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,645470.147855919
557131,148280,30.0,1030.0,Tonbridge and Malling,5701.0,762.0,14831.0,42,50.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,619111.2359636695
536340,168622,30.0,480.0,Bromley,21766.0,1551.0,49900.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,585637.3994357637
459203,83506,30.0,1260.0,Isle of Wight,8031.0,638.0,16584.0,759,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,283774.04945103044
516881,148527,100.0,1180.0,Mole Valley,6977.0,857.0,16427.0,302,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,547839.3785662358
388949,106284,40.0,1000.0,Dorset,12771.0,1219.0,30237.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,345567.88705482194
439220,119794,50.0,1090.0,Test Valley,3091.0,204.0,7205.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,384412.11115357804
531768,179002,10.0,1620.0,Southwark,10222.0,814.0,23014.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,591200.950255102
273160,69904,90.0,1000.0,South Hams,10952.0,1252.0,24396.0,546,90.0,Low to moderate,1e-05,1e-07,"Organic matter, highly variable         ",0.02,1.0,409421.1352040816
371583,159610,70.0,1120.0,Bath and North East Somerset,30521.0,2703.0,80405.0,964,55.0,Moderate to low,0.001,1e-06,"silt, sand",0.002,0.0,581552.357034743
333915,161471,10.0,1550.0,North Somerset,16616.0,1167.0,38031.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,282371.3080357143
447025,114560,50.0,1750.0,Eastleigh,,,,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,509540.95217092545
377248,173729,190.0,2700.0,South Gloucestershire,11444.0,1172.0,27752.0,964,,,,,,,,505796.5293228441
533378,178838,10.0,1400.0,Southwark,,,,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,734296.4067004777
596974,131607,20.0,3280.0,Ashford,4859.0,622.0,12393.0,1711,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,435963.63399943314
528196,137787,70.0,1760.0,Crawley,27030.0,2243.0,73721.0,506,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,582164.7812676171
489271,180742,30.0,1700.0,Windsor and Maidenhead,32344.0,3456.0,84273.0,1089,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,695713.4394132653
360541,179509,60.0,1190.0,South Gloucestershire,,,,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,511364.1716380463
525225,158885,160.0,5670.0,Reigate and Banstead,7264.0,643.0,18509.0,3227,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,444134.4360691392
528212,150643,80.0,1180.0,Reigate and Banstead,19715.0,1827.0,50437.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,629940.904237041
315540,100181,110.0,570.0,East Devon,9641.0,1087.0,22225.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,337094.56155082816
574786,144409,30.0,2320.0,Maidstone,11985.0,1502.0,31362.0,1711,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,1429277.6109693877
409722,92041,40.0,1960.0,"Bournemouth, Christchurch and Poole",10939.0,1105.0,23696.0,552,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,328978.24968550436
414785,129988,50.0,1180.0,Wiltshire,9627.0,957.0,22723.0,343,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,410067.1000132136
247600,54400,10.0,1770.0,Plymouth,12083.0,1431.0,26332.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,1016023.0586734693
500345,159197,30.0,750.0,Woking,20197.0,1650.0,50863.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,555362.1724254703
564062,173282,20.0,1820.0,Gravesham,15684.0,1015.0,41402.0,1103,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,332257.7308729356
182244,44660,20.0,410.0,Cornwall,9753.0,1136.0,23406.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,348817.19363717706
487919,181978,50.0,1210.0,Windsor and Maidenhead,32344.0,3456.0,84273.0,1089,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,508252.55535714293
532974,177055,10.0,4410.0,Southwark,19220.0,1308.0,50329.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,510894.123022559
460167,84937,10.0,210.0,Isle of Wight,8031.0,638.0,16584.0,759,60.0,Very low,1e-05,1e-08,"clay, fine silt",0.002,1.0,283759.5147746599
573786,126062,90.0,1510.0,Rother,2144.0,279.0,5207.0,1711,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,421151.06582263805
444617,119991,20.0,230.0,Eastleigh,19373.0,1506.0,51842.0,759,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,409350.1270282954
602517,139593,40.0,240.0,Ashford,6654.0,861.0,19285.0,1711,60.0,Very low,1e-05,1e-08,"clay, fine silt",0.002,1.0,560552.4780189551
296488,146570,60.0,1060.0,Somerset West and Taunton,9628.0,1084.0,18619.0,534,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,314803.86344728444
356058,161754,60.0,430.0,Bath and North East Somerset,5508.0,858.0,13754.0,964,45.0,Low to very low,1e-05,1e-08,"clay, fine silt",0.002,0.0,556918.9592787053
399843,171991,80.0,1270.0,Wiltshire,9382.0,935.0,24803.0,343,,,,,,,,367233.86901218817
552989,154629,150.0,1950.0,Sevenoaks,6329.0,792.0,16639.0,42,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,907028.3815379223
442900,111500,10.0,1460.0,Southampton,,,,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,509560.2930564781
513391,165028,30.0,500.0,Elmbridge,8352.0,874.0,21681.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,887013.7512586477
156253,37334,30.0,760.0,Cornwall,6794.0,661.0,16257.0,546,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,284137.42517006805
374775,164832,20.0,1160.0,Bath and North East Somerset,19809.0,2178.0,42246.0,964,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,519970.8260517401
517800,174800,10.0,290.0,Richmond upon Thames,10482.0,1212.0,22989.0,302,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,1452189.112244898
457310,105177,10.0,1910.0,Fareham,14121.0,1158.0,33652.0,759,40.0,Highly variable,0.01,1e-09,"mixed gravel, sand, clay",0.002,0.0,402160.5562895137
